Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description,,,,,,,,Price(Online),Link,,,,
Ccomp1,CUSTOM,CUSTOM,1,0,0,Cap: 882.39 pF  Total Derated Cap: 880 pF  VDC: 0 V  ESR: 0 Ω  Package:   ,,,,,,,,,,,,,
Cfb3,AVX,08053C104JAZ2A,1,0.07,6.75,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 25 V  ESR: 0 Ω  Package: 0805  ,,,,,,,,27.68,08053C104JAZ2A KYOCERA AVX | Mouser India,,,,
Cin2,Rubycon,400PK22MEFC12_5X20,1,0.39,144,Cap: 22 µF  Total Derated Cap: 22 µF  VDC: 400 V  ESR: 50 mΩ  Package: 12.5x20  ,,,,,,,,105.82,400PK22MEFC12.5X20 Rubycon | Mouser India,,,,
D1,Bourns,CD214C-F3600,1,0.2301,83.27,Type: Ultrafast  VRRM: 600 V  Io: 3 A  ,,,,,,,,,,,,,
D2,Diodes Inc.,B540C-13-F,1,0.19,83.27,Type: Schottky  VRRM: 40 V  Io: 5 A  ,,,,,,,,43.96,Search results for: B540C-13-F Schottky Diodes & Rectifiers – Mouser India,,,,
Dac,Vishay-Semiconductor,DF08SA,1,0.28,98.79,Type: Switching-Bridge  VRRM: 800 V  Io: 1 A  ,,,,,,,,55.35,https://mou.sr/3XztRA8,,,,
Dz,Diodes Inc.,SMBJ110A-13-F,1,0.1,44.16,Type: SMT  VRWM: 110 V  ,,,,,,,,35.82,https://mou.sr/3IchOD1,,,,
L1,NIC Components,NPI105C471MTRF,1,0.135,141.36,L: 470 µH  DCR: 1.48 Ω  IDC: 420 mA  ,,,,,,,,,,,,,
M1,Infineon Technologies,IPD80R1K0CEBTMA1,1,0.6,101.71,VdsMax: 800 V  IdsMax: 5.7 Amps  ,,,,,,,,NA,https://mou.sr/3xw1tnX,,,,
NTC,GE Sensing,CL-40,1,0.86,163.64,Resistance_Tol_pct: 25.0%  Bref_T1_T2: 0   Resistance_25C: 5 Ω  ,,,,,,,,160.36,https://mou.sr/3IxvA4E,,,,
O1,California Eastern Laboratories,PS2811-1,1,1.32,110.7,CTR_Min: 100.0%  CTR_Max: 400.0%  IcMax: 40 mmA  ,,,,,,,,88.73,https://mou.sr/3XHlGBI,,,,
Rdd,Yageo,RC0603FR-0722RL,1,0.01,4.68,Resistance: 22 Ω  Tolerance: 1.0%  Power: 100 mW  ,,,,,,,,8.14,https://mou.sr/4148dqE,,,,
Rfb4,Yageo,RC0201FR-0718K7L,1,0.01,2.08,Resistance: 18.7 kΩ  Tolerance: 1.0%  Power: 50 mW  ,,,,,,,,8.14,https://mou.sr/3XGc8ab,,,,
Rlc,Vishay-Dale,CRCW04022K21FKED,1,0.01,3,Resistance: 2.21 kΩ  Tolerance: 1.0%  Power: 63 mW  ,,,,,,,,8.14,https://mou.sr/3Ivdxfw,,,,
Ropt,Vishay-Dale,CRCW04021K00FKED,1,0.01,3,Resistance: 1 kΩ  Tolerance: 1.0%  Power: 63 mW  ,,,,,,,,8.14,https://mou.sr/3Z0UYp2,,,,
Rs2,Vishay-Dale,CRCW040234K0FKED,1,0.01,3,Resistance: 34 kΩ  Tolerance: 1.0%  Power: 63 mW  ,,,,,,,,8.14,https://mou.sr/3Z0UYp2,,,,
T1,Core=TDK   CoilFormer=TDK,Core=B66311G0000X127   CoilFormer=B66206C1012T001,1,1.07,244.86,Core Type: E20/10/6  Core Material: N27  Turns Ratio(Nps): 81:5  ,,,,,,,,55.35,https://mou.sr/3Idh4Ol,,,161.99,https://mou.sr/3Ivl11Y
VR,Texas Instruments,LMV431CM5/NOPB,1,0.205,16.39,IkMin: 55 mA  InitialAccuracy: 1.5%  ReferenceOutput: 1.24 V  ,,,,,,,,97.68,https://mou.sr/3YXsEDY,,,,
Cdd,TDK,CGA4J1X7R1V475K125AC,1,0.134,6.75,Cap: 4.7 µF  Total Derated Cap: 4.7 µF  VDC: 35 V  ESR: 2.35 mΩ  Package: 0805  ,,,,,,,,37.44,https://mou.sr/3xwe7mR,,,,
Cin,Rubycon,400PK22MEFC12_5X20,1,0.39,144,Cap: 22 µF  Total Derated Cap: 22 µF  VDC: 400 V  ESR: 50 mΩ  Package: 12.5x20  ,,,,,,,,105.82,https://mou.sr/3KgC4WM,,,,
Cout,Nichicon,UHV1V122MHD,2,0.54,210.25,Cap: 1.2 mF  Total Derated Cap: 2.4 mF  VDC: 35 V  ESR: 14 mΩ  Package: 12.5x25  ,,,,,,,,122.91,https://mou.sr/3EjbgBs,,,,
Dvdd,Microsemi,UFS180JE3/TR13,1,0.95,41.59,Type: Ultrafast  VRRM: 800 V  Io: 1 A  ,,,,,,,,77.33,https://mou.sr/3Scu6QK,,,,
Rcs,Bourns,CRM0805-FX-R910ELF,1,0.04,6.75,Resistance: 910 mΩ  Tolerance: 1.0%  Power: 250 mW  ,,,,,,,,35,https://mou.sr/3YGO5ZZ,,,,
Rfb3,Yageo,RC0201FR-07205KL,1,0.01,2.08,Resistance: 205 kΩ  Tolerance: 1.0%  Power: 50 mW  ,,,,,,,,10.58,https://mou.sr/3xxhOc4,,,,
Rfbb,Yageo,RC0603FR-0739KL,1,0.01,4.68,Resistance: 39 kΩ  Tolerance: 1.0%  Power: 100 mW  ,,,,,,,,8.14,https://mou.sr/3Ix4YAJ,,,,
Rfbt,Vishay-Dale,CRCW0402118KFKED,1,0.01,3,Resistance: 118 kΩ  Tolerance: 1.0%  Power: 63 mW  ,,,,,,,,8.14,https://mou.sr/3YWNao7,,,,
Rs1,Vishay-Dale,CRCW0402113KFKED,1,0.01,3,Resistance: 113 kΩ  Tolerance: 1.0%  Power: 63 mW  ,,,,,,,,8.14,https://mou.sr/3YWNao7,,,,
Rtl,Vishay-Dale,CRCW04021K07FKED,1,0.01,3,Resistance: 1.07 kΩ  Tolerance: 1.0%  Power: 63 mW  ,,,,,,,,8.14,https://mou.sr/3YWNao7,,,,
U1,Texas Instruments,UCC28740DR,1,0.377,55.2,,,,,,,,,109.89,https://mou.sr/3SaAaJa,,,,
,,,,7.9811,1734.96,,,,,,,,,,,,,,
